#    q    union    cs2    vm    wc    pj    gb    agg    ob    lim
UQ6    8.24    59.11    2.36    0.42    0.34    0.04    0.22    0.02    0.15    1.46
UQ7    2.93    32.79    0.78    0.58    0.51    0.02    0.28    0.0    0.1    1.43
UQ5    11.54    174.57    2.79    2.94    0.57    0.1    0.27    0.0    0.08    1.58
UQ4    9.89    349.09    1.84    1.42    0.43    0.03    0.25    0.0    0.22    1.84
UQ1    6.84    100.63    0.16    0.13    0.07    0.01    0.02    0.0    0.01    0.26
UQ3    7.58    68.06    1.68    1.23    0.27    0.02    0.16    0.0    0.11    1.46
UQ2    2.15    24.75    1.06    0.61    0.23    0.02    0.14    0.0    0.09    1.24
UQ8    5.96    71.87    3.77    1.35    0.33    6.1    0.18    0.01    3.18    1.4
